日期,上傳此GPX用戶,總距離水平(km),總爬升高度(m),總下降高度(m),總花費時間(HH:MM:SS),起始到折返點時間(HH:MM:SS),折返到結束時間(HH:MM:SS),上山水平速度(km/h),上山垂直速度(m/h),下山水平速度(km/h),下山垂直速度(m/h),全程平均水平速度(km/h),全程平均垂直速度(m/h),最高海拔(m),最低海拔(m)
2023-05-20,no.1,17.08,2760,2754,10:12:27,04:59:16,05:13:11,1.79,409.2,1.56,411.8,1.67,270.4,3332,1879
2021-05-13,no.2,12.51,2269,2269,10:19:25,05:09:37,05:09:48,1.22,366.6,1.21,347.6,1.21,219.8,3310,1872
2023-11-06,no.3,15.25,5234,5320,08:51:16,04:54:35,03:56:41,1.69,942.1,1.76,515.5,1.72,591.2,3320,1891
2022-09-24,no.4,16.34,2589,2593,09:41:22,06:27:56,03:13:26,1.39,351.0,2.29,541.0,1.69,267.3,3322,1889
2023-05-03,no.5,30.3,4638,4639,14:24:23,10:51:11,03:33:12,1.84,373.0,2.91,625.5,2.1,321.9,3533,1891
2023-05-20,no.6,14.81,2380,2366,10:02:20,06:05:04,03:57:16,1.21,327.3,1.88,456.1,1.48,237.1,3319,1890
2024-01-26,no.7,12.93,2824,2825,08:55:45,04:56:56,03:58:49,1.32,433.3,1.6,533.8,1.45,316.3,3344,1882
2024-02-13,no.8,14.45,2671,2651,10:08:11,05:58:53,04:09:18,1.39,357.7,1.48,463.4,1.43,263.5,3318,1888
2024-09-19,no.9,14.79,4049,4055,08:26:07,05:08:35,03:17:32,1.63,662.1,1.95,627.8,1.75,480.1,3319,1886
2021-11-26,no.10,16.16,7752,7278,12:49:12,06:10:50,06:38:22,1.27,790.0,1.25,577.4,1.26,604.7,3357,1917
2024-08-24,no.11,13.02,2718,2718,12:07:58,07:33:18,04:34:40,0.81,261.9,1.5,471.4,1.07,224.1,3310,1871
2017-04-29,no.12,14.95,2008,1917,10:51:35,06:10:34,04:41:01,1.38,300.3,1.37,332.8,1.38,185.0,3331,1834
2017-12-22,no.13,26.96,3440,3380,33:24:59,09:03:37,24:21:22,1.07,226.5,0.71,111.5,0.81,102.9,3281,1874
2018-12-28,no.14,23.39,2245,2245,13:02:57,06:16:56,06:46:01,1.89,301.5,1.7,286.1,1.79,172.1,3490,1887
2019-06-14,no.15,18.82,2313,2253,12:06:05,04:29:05,07:37:00,1.35,332.1,1.68,287.7,1.56,191.2,3325,1894
2019-06-28,no.16,19.26,2064,2064,10:22:10,03:52:39,06:29:31,1.62,381.9,2.0,305.6,1.86,199.1,3306,1887
2019-06-28,no.17,18.82,2049,2049,10:22:56,04:05:17,06:17:39,1.56,358.9,1.98,315.1,1.81,197.4,3306,1887
2019-09-13,no.18,11.39,1552,1576,12:31:58,08:21:33,04:10:25,0.69,178.4,1.35,355.4,0.91,123.8,3325,1897
2019-12-26,no.19,13.87,2091,2111,11:57:37,08:50:28,03:07:09,1.02,217.1,1.56,517.7,1.16,174.9,3324,1878
2020-02-28,no.20,19.49,2622,2636,30:46:08,21:16:46,09:29:22,0.33,79.3,1.32,249.0,0.63,85.2,3322,1885
2020-04-18,no.21,20.07,2734,2292,28:14:35,06:46:18,21:28:17,1.04,250.2,0.61,102.0,0.71,96.8,3399,1808
2020-07-15,no.22,13.79,1481,1482,07:50:30,04:24:26,03:26:04,1.53,326.9,2.05,421.8,1.76,188.9,3304,1887
2020-10-30,no.23,14.69,4516,4046,07:02:51,04:58:47,02:04:04,1.89,830.4,2.55,832.9,2.08,640.9,3320,367
2020-12-18,no.24,24.51,2869,2869,16:13:34,06:45:47,09:27:47,1.66,300.3,1.41,261.8,1.51,176.8,3512,1859
2020-03-21,no.25,13.15,2711,2716,12:13:13,06:43:34,05:29:39,0.99,309.1,1.19,376.0,1.08,221.8,3352,1907
2020-07-11,no.26,17.84,4169,4176,13:38:20,09:40:56,03:57:24,1.22,278.0,1.52,730.0,1.31,305.7,3306,1848
2021-08-25,no.27,17.89,2299,2276,12:31:37,05:05:12,07:26:25,1.33,330.3,1.5,270.8,1.43,183.5,3300,1878
2021-03-12,no.28,15.32,2311,2356,11:51:24,06:17:15,05:34:09,1.17,304.7,1.43,324.8,1.29,194.9,3309,1872
2021-12-24,no.29,17.42,2148,2146,12:02:02,05:16:28,06:45:34,1.13,289.1,1.69,297.8,1.45,178.5,3287,1875
2021-04-16,no.30,27.32,4729,4734,12:32:55,07:39:14,04:53:41,2.27,461.2,2.03,537.2,2.18,376.9,3327,1888
2021-12-13,no.31,29.22,3964,3707,67:11:48,49:13:56,17:57:52,0.39,73.7,0.55,104.9,0.43,59.0,3696,1872
2021-02-28,no.32,35.12,4561,4561,-18:13:06,-14:10:24,-4:02:42,-1.26,-178.7,-4.47,-614.4,-1.97,-256.5,3509,1872
2021-03-20,no.33,13.29,1547,1610,10:07:34,06:33:59,03:33:35,1.03,224.4,1.84,409.2,1.31,152.8,3207,1814
2021-03-20,no.34,18.03,3806,3799,11:16:23,06:46:27,04:29:55,1.35,372.0,1.98,601.9,1.6,337.7,3317,1886
2021-04-18,no.35,18.84,3231,3233,10:42:18,04:39:16,06:03:02,1.87,482.1,1.68,399.1,1.76,301.9,3321,1888
2022-08-13,no.36,7.85,3730,2183,04:37:05,04:16:14,00:20:51,1.8,870.8,0.45,75.4,1.7,807.9,3306,1745
2021-09-26,no.37,30.18,3815,3816,32:26:52,08:33:14,23:53:38,1.39,271.5,0.77,129.9,0.93,117.6,3517,1890
2021-12-04,no.38,16.94,2865,2873,11:35:15,05:44:38,05:50:37,1.47,387.5,1.45,352.2,1.46,247.3,3313,1887
2021-12-09,no.39,12.44,3203,3203,09:53:42,05:48:30,04:05:12,1.07,376.2,1.53,596.1,1.26,323.7,3310,1872
2021-04-29,no.40,28.33,3386,3392,33:34:39,08:29:41,25:04:58,1.26,237.4,0.7,119.7,0.84,100.9,3532,1895
2021-12-03,no.41,13.09,5118,3934,09:24:17,09:12:06,00:12:11,1.03,525.1,17.93,2551.6,1.39,544.3,3306,1886
2022-12-23,no.42,16.58,2718,2707,11:40:10,05:22:35,06:17:35,1.51,397.4,1.35,317.2,1.42,232.9,3324,1880
2022-04-03,no.43,14.61,2507,2415,09:10:09,05:15:28,03:54:41,1.54,385.1,1.67,464.6,1.59,273.5,3317,1888
2022-04-13,no.44,15.57,2885,2890,09:06:05,04:37:39,04:28:26,1.71,464.4,1.71,483.4,1.71,317.0,3323,1887
2022-07-03,no.45,23.62,3343,3338,12:28:36,05:16:52,07:11:44,1.52,376.8,2.17,385.2,1.89,268.0,3320,1886
2022-07-22,no.46,18.75,2322,2330,12:55:15,10:31:52,02:23:23,1.11,193.7,2.93,702.6,1.45,179.7,3287,1872
2022-08-05,no.47,14.3,2282,2274,08:18:08,04:39:20,03:38:48,1.61,409.0,1.87,490.4,1.72,274.9,3321,1889
2022-10-01,no.48,19.56,2747,4023,09:43:38,06:57:55,02:45:43,1.8,324.4,2.53,694.5,2.01,282.4,3330,1889
2022-11-20,no.49,17.63,4151,4136,10:48:04,06:20:49,04:27:15,1.41,508.4,1.95,526.2,1.63,384.3,3327,1885
2022-11-20,no.50,16.53,3346,3341,11:31:31,06:41:04,04:50:27,1.31,366.2,1.61,479.5,1.43,290.3,3325,1887
2022-12-10,no.51,15.78,3717,3714,11:58:46,06:06:29,05:52:17,1.33,390.0,1.3,469.3,1.32,310.3,3326,1895
2023-05-26,no.52,29.18,8046,8049,56:33:39,47:45:49,08:47:50,0.37,141.3,1.29,332.4,0.52,142.3,3524,1875
2023-04-21,no.53,14.02,2441,2429,10:18:06,05:28:35,04:49:31,1.25,354.1,1.49,399.1,1.36,237.0,3329,1877
2023-12-23,no.54,14.84,1823,1831,28:42:31,07:52:39,20:49:52,1.01,216.4,0.33,73.6,0.52,63.5,3304,1883
2023-04-29,no.55,16.0,2836,2791,15:07:21,12:09:46,02:57:35,0.94,218.0,1.56,528.7,1.06,187.6,3317,1880
2023-06-22,no.56,14.13,1820,1822,31:51:43,28:09:12,03:42:31,0.33,62.2,1.34,399.9,0.44,57.1,3308,1872
2023-07-13,no.57,15.84,2470,2462,08:42:34,04:29:44,04:12:50,1.8,435.9,1.83,460.7,1.82,283.6,3331,1888
2023-10-14,no.58,18.47,2411,2119,30:09:50,26:57:14,03:12:36,0.44,84.3,2.02,494.7,0.61,79.9,3310,1570
2023-10-25,no.59,9.18,1519,1527,10:50:08,06:06:42,04:43:26,0.79,244.0,0.92,305.5,0.85,140.2,3308,1882
2023-11-17,no.60,22.35,1956,2029,11:44:00,06:27:31,05:16:29,1.83,263.9,1.99,312.2,1.9,166.8,3327,1810
2023-11-18,no.61,13.37,2002,2125,10:38:06,05:40:00,04:58:06,0.93,293.4,1.64,377.8,1.26,188.3,3310,1773
2023-11-18,no.62,29.76,3474,3473,16:41:31,04:48:16,11:53:15,2.07,412.8,1.67,259.2,1.78,208.1,3490,1879
2023-11-21,no.63,17.13,2161,2161,21:55:10,16:37:31,05:17:39,0.71,124.3,1.0,280.7,0.78,98.6,3286,1876
2023-11-25,no.64,15.8,3113,3123,07:49:04,05:38:05,02:10:59,1.69,471.8,2.86,860.9,2.02,398.3,3320,1885
2023-10-22,no.65,47.3,5662,5659,57:14:11,26:05:12,31:08:59,0.68,115.7,0.95,136.7,0.83,98.9,3510,1871
2023-12-01,no.66,11.16,2173,2174,07:47:14,04:44:12,03:03:02,1.15,371.6,1.88,599.6,1.43,279.1,3310,1871
2023-12-30,no.67,12.88,2773,2809,12:58:21,05:51:52,07:06:29,0.97,333.7,1.01,316.3,0.99,213.8,3310,1871
2024-07-05,no.68,29.89,3637,3635,13:58:28,09:56:44,04:01:44,1.94,320.2,2.62,512.5,2.14,260.3,3509,1872
2024-12-06,no.69,13.37,2644,2544,09:07:17,05:01:57,04:05:20,1.48,404.1,1.44,479.7,1.47,290.0,3337,1885
2024-04-20,no.70,19.14,3831,3873,09:37:48,03:05:59,06:31:49,1.9,582.3,2.03,530.0,1.99,397.9,3327,1886
2024-06-26,no.71,19.58,2657,2657,28:34:11,03:51:10,24:43:01,1.56,426.7,0.55,98.3,0.69,93.0,3309,1872
2024-06-27,no.72,35.19,6429,6432,54:21:13,22:51:16,31:29:57,0.76,166.5,0.56,135.3,0.65,118.3,3537,1888
2024-08-13,no.73,4.73,1253,264,03:23:03,03:23:03,00:00:00,1.4,370.4,0,0,1.4,370.4,2944,1955
2024-09-01,no.74,10.34,2420,997,05:40:07,05:34:35,00:05:32,1.84,427.2,0.73,495.3,1.82,427.0,3323,1888
2025-02-27,no.75,8.69,2801,1791,10:32:43,08:18:50,02:13:53,0.83,309.1,0.78,301.6,0.82,265.6,3368,1896
2025-02-28,no.76,7.74,2069,2086,09:36:16,00:00:21,09:35:55,7.28,3257.1,0.8,217.2,0.81,215.4,2941,2041
2025-03-01,no.77,10.53,2064,3003,07:30:19,02:32:32,04:57:47,0.65,252.9,1.79,568.2,1.4,275.0,3350,1896
2025-05-16,no.78,13.05,2408,2414,08:52:27,04:59:56,03:52:31,1.38,416.0,1.58,454.3,1.47,271.4,3325,1880
2024-12-20,no.79,16.77,3116,3121,11:08:03,05:30:47,05:37:16,1.47,398.1,1.54,417.2,1.51,279.9,3330,1886
2021-02-25,no.80,21.74,8323,8124,10:46:43,06:29:36,04:17:07,2.09,1047.8,1.91,678.7,2.02,772.2,3292,1704
2023-09-13,no.81,19.26,3047,3045,10:10:00,08:28:01,01:41:59,1.6,329.0,3.39,993.7,1.89,299.8,3332,1883
2025-05-16,no.82,10.49,2159,2175,08:06:43,05:19:57,02:46:46,0.94,308.0,1.96,703.0,1.29,266.2,3313,1871
2023-10-22,no.83,23.48,5783,5782,12:01:47,06:56:13,05:05:34,1.83,543.7,2.12,676.8,1.95,480.8,3333,1884
2020-08-14,no.84,5.59,1675,298,07:42:05,07:22:46,00:19:19,0.72,227.0,0.82,170.8,0.73,217.5,3337,1870
2022-12-24,no.85,26.77,3053,2997,11:04:00,06:10:58,04:53:02,2.5,394.0,2.31,441.4,2.42,275.9,3319,1725
2023-09-29,no.86,16.35,2419,2431,13:43:00,04:33:21,09:09:39,1.16,331.9,1.21,255.1,1.19,176.4,3310,1878
2020-08-07,no.87,21.41,3583,3570,11:46:45,05:17:19,06:29:26,2.18,507.6,1.52,356.3,1.82,304.3,3319,1888
2022-11-19,no.88,19.66,2297,2292,12:41:38,10:11:39,02:29:59,1.33,219.3,2.44,571.9,1.55,181.0,3156,1777
2021-11-13,no.89,19.47,2349,2329,10:30:20,08:00:45,02:29:35,1.65,285.2,2.51,587.2,1.85,223.7,3299,1868
2023-11-03,no.90,29.31,3255,3239,10:02:08,07:28:40,02:33:28,2.53,395.1,4.06,752.9,2.92,324.4,3529,1879
2022-07-18,no.91,21.38,4406,4403,12:21:00,04:44:13,07:36:47,1.61,561.2,1.81,418.1,1.73,356.8,3341,1896
2020-08-07,no.92,31.68,5056,5060,15:58:12,07:41:05,08:17:07,2.15,448.6,1.83,391.1,1.98,316.6,3522,1890
2024-07-18,no.93,29.68,4917,4919,13:04:34,05:43:03,07:21:31,2.33,454.6,2.23,536.3,2.27,376.0,3527,1883
2022-11-04,no.94,25.03,5045,5048,13:30:41,08:19:19,05:11:22,2.03,509.7,1.57,431.8,1.85,373.4,3336,1891
2022-04-15,no.95,17.68,3466,3497,11:39:29,08:52:31,02:46:58,1.38,355.6,1.97,630.6,1.52,297.3,3346,1857
2022-12-23,no.96,20.97,2666,2663,10:26:39,04:07:08,06:19:31,1.8,388.1,2.14,391.9,2.01,255.3,3291,1860
2023-09-09,no.97,27.49,4742,4746,13:48:20,04:40:12,09:08:08,1.81,435.3,2.08,453.9,1.99,343.5,3335,1885
2020-09-13,no.98,11.42,1755,1753,09:34:58,05:19:47,04:15:11,1.0,290.6,1.43,381.8,1.19,183.1,3309,1872
2022-01-15,no.99,14.9,2728,2743,09:20:32,05:20:25,04:00:07,1.51,392.6,1.71,513.4,1.59,292.1,3319,1882
2024-11-22,no.100,12.45,1926,1937,05:58:24,03:38:48,02:19:36,1.85,479.6,2.46,690.7,2.09,322.4,3311,1871
2022-07-09,no.101,25.57,2686,2672,13:20:31,07:16:16,06:04:15,1.86,310.9,1.99,300.9,1.92,201.3,3276,1855
2019-11-22,no.102,33.15,3643,3656,16:42:55,06:45:23,09:57:32,1.89,290.7,2.05,322.8,1.98,218.0,3345,1803
2020-06-16,no.103,25.6,2867,3244,14:30:01,04:12:31,10:17:30,1.74,354.0,1.78,292.0,1.77,197.7,3463,1823
2021-09-18,no.104,16.23,2753,2163,54:14:38,49:41:05,04:33:33,0.25,54.0,0.88,321.5,0.3,50.8,3323,1338
2024-09-23,no.105,21.27,3472,3473,12:31:56,08:22:19,04:09:37,1.53,326.1,2.03,520.3,1.7,277.1,3333,1889
2025-05-22,no.106,13.44,3011,3016,07:29:56,03:30:57,03:58:59,1.82,603.1,1.77,581.7,1.79,401.6,3313,1871
2024-03-26,no.107,13.83,2399,2422,14:56:26,06:05:10,08:51:16,0.85,272.1,0.98,245.2,0.93,160.6,3319,1882
2024-12-21,no.108,30.65,4859,4858,15:18:39,05:29:24,09:49:15,1.96,433.9,2.02,417.4,2.0,317.4,3520,1889
2018-12-28,no.109,28.52,3091,3091,13:02:59,06:16:57,06:46:02,2.57,434.6,1.83,287.5,2.19,236.9,3490,1887
2022-05-29,no.110,11.54,2023,2163,09:35:11,00:00:00,09:35:11,0,0,1.2,225.6,1.2,211.0,3309,3070
2023-11-04,no.111,28.72,4417,4330,12:12:55,04:32:14,07:40:41,2.31,503.8,2.38,478.5,2.35,361.6,3529,1888
2023-11-17,no.112,16.14,4297,4302,10:02:45,06:28:36,03:34:09,1.42,518.7,1.94,663.2,1.61,427.8,3324,1878
2020-08-16,no.113,17.79,6691,6692,12:26:49,07:58:53,04:27:56,1.33,651.3,1.6,652.2,1.43,537.6,3320,1901
2024-08-24,no.114,13.52,2739,2734,08:55:58,05:34:24,03:21:34,1.24,375.6,1.96,618.5,1.51,306.6,3333,1884
2022-06-03,no.115,30.27,4108,4108,16:56:04,11:59:21,04:56:43,1.79,300.8,1.78,391.7,1.79,242.6,3333,1889
2022-01-14,no.116,12.41,2383,957,07:29:08,07:27:04,00:02:04,1.66,319.2,0.65,175.5,1.66,318.4,3330,1888
2022-08-12,no.117,21.35,3157,3168,10:13:24,03:50:50,06:22:34,1.99,504.1,2.15,416.1,2.09,308.8,3332,1887
2022-08-06,no.118,13.82,1598,1579,09:34:50,04:11:41,05:23:09,1.74,341.4,1.21,280.8,1.44,166.8,3319,1954
2022-11-26,no.119,7.14,3186,1799,06:32:55,06:32:49,00:00:06,1.09,486.7,0.88,23819.4,1.09,486.6,3330,1903
2023-05-21,no.120,13.58,2444,2449,09:30:45,05:48:03,03:42:42,1.26,350.5,1.7,497.4,1.43,257.0,3331,1879
2022-11-25,no.121,9.7,2389,2443,09:17:38,04:49:56,04:27:42,0.92,342.5,1.18,485.4,1.04,257.2,3344,1912
2023-11-25,no.122,17.78,2883,2883,12:24:00,05:39:10,06:44:50,1.55,374.2,1.34,325.7,1.43,232.6,3324,1876
2024-06-18,no.123,7.09,1105,1006,10:17:36,02:33:36,07:44:00,0.61,171.1,0.72,117.7,0.69,107.4,3511,3101
2023-08-25,no.124,15.3,2262,2175,11:17:19,08:48:46,02:28:33,1.26,247.9,1.7,539.3,1.36,200.4,3257,1904
2023-11-03,no.125,26.37,4865,4872,16:00:41,05:55:41,10:05:00,1.54,391.0,1.71,397.0,1.65,303.9,3344,1880
2024-03-23,no.126,19.62,2310,2312,11:01:01,04:15:18,06:45:43,1.47,337.2,1.98,329.8,1.78,209.7,3262,1900
2025-04-03,no.127,15.4,4085,4083,14:47:12,08:56:19,05:50:53,0.96,330.1,1.17,436.5,1.04,276.3,3313,1873
2023-12-21,no.128,14.33,3480,3493,09:25:07,05:15:38,04:09:29,1.46,513.0,1.61,533.2,1.52,369.6,3324,1880
2023-12-15,no.129,18.48,5822,5823,14:55:40,08:56:11,05:59:29,1.13,435.5,1.39,555.8,1.24,390.0,3306,1873
2023-12-04,no.130,17.93,4152,4222,10:00:58,04:44:07,05:16:51,1.66,590.4,1.9,528.0,1.79,414.6,3329,1887
2023-07-04,no.131,10.7,1640,1643,10:34:06,06:20:40,04:13:26,0.84,242.4,1.27,360.8,1.01,155.2,3309,1872
2023-11-04,no.132,10.7,3355,3352,07:52:30,04:44:26,03:08:04,1.17,622.7,1.64,585.4,1.36,426.1,3315,1865
2023-10-09,no.133,16.38,2385,2387,09:04:09,04:51:53,04:12:16,1.76,396.6,1.86,449.6,1.81,263.0,3332,1886
2023-09-25,no.134,14.56,2282,2277,08:51:52,05:42:37,03:09:15,1.34,349.9,2.2,545.1,1.64,257.5,3338,1889
2023-09-12,no.135,7.22,1578,1559,07:09:48,04:16:14,02:53:34,0.96,369.6,1.07,467.3,1.01,220.3,3311,1927
