"觀測時間(day)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","Precp"
"01","687.6","12.2","66","3.3","260","/"
"02","686.3","11.6","69","3.3","275","/"
"03","687.5","10.6","77","3.0","221","/"
"04","688.0","10.7","75","3.9","207","/"
"05","688.1","10.1","82","2.5","198","/"
"06","687.3","8.5","94","2.5","215","/"
"07","687.1","8.7","97","1.6","192","/"
"08","686.1","8.5","97","2.3","188","/"
"09","686.5","9.2","87","2.1","11","/"
"10","686.9","9.7","96","1.7","188","/"
"11","686.2","9.7","100","4.3","204","/"
"12","685.4","9.2","100","4.8","214","/"
"13","684.8","9.1","98","5.9","225","/"
"14","685.1","8.8","99","4.9","204","/"
"15","686.7","10.1","87","5.2","197","/"
"16","687.4","10.1","81","4.2","213","/"
"17","689.1","10.8","78","3.3","203","/"
"18","690.8","10.8","74","3.3","210","/"
"19","690.8","11.3","71","2.5","192","/"
"20","689.6","10.0","80","2.1","204","/"
"21","689.9","10.7","79","2.4","200","/"
"22","690.0","11.3","78","1.3","48","/"
"23","689.5","11.4","87","2.0","6","/"
"24","689.4","12.0","78","1.7","187","/"
"25","689.9","11.4","85","1.9","190","/"
"26","690.0","11.1","84","2.4","195","/"
"27","689.8","11.4","78","2.8","194","/"
"28","690.8","11.5","81","3.5","198","/"
"29","691.6","11.4","71","2.4","200","/"
"30","691.0","10.7","80","2.4","195","/"
