"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","688.9","690.5","2022/04/01 08:44:00","687.6","2022/04/01 16:57:00","6.3","13.8","2022/04/01 12:31:00","3.9","2022/04/01 23:36:00","92","69","2022/04/01 00:58:00","2.5","226","12.4","229","2022/04/01 14:42:00","1.0"
"02","686.6","688.2","2022/04/02 00:26:00","685.1","2022/04/02 15:48:00","4.7","9.0","2022/04/02 13:05:00","2.3","2022/04/02 23:31:00","100","92","2022/04/02 14:18:00","2.8","241","14.2","233","2022/04/02 03:01:00","33.0"
"03","686.1","687.8","2022/04/03 23:45:00","684.3","2022/04/03 04:04:00","1.5","4.3","2022/04/03 15:38:00","-1.6","2022/04/03 19:28:00","87","3","2022/04/03 23:56:00","3.0","3","13.9","218","2022/04/03 14:46:00","25.0"
"04","688.9","690.3","2022/04/04 22:00:00","687.0","2022/04/04 03:25:00","6.4","13.2","2022/04/04 12:31:00","1.8","2022/04/04 00:21:00","31","1","2022/04/04 06:17:00","1.8","252","8.3","217","2022/04/04 16:48:00","0.0"
"05","688.2","689.8","2022/04/06 00:00:00","686.9","2022/04/05 15:35:00","7.4","14.6","2022/04/05 10:27:00","2.5","2022/04/05 22:27:00","25","2","2022/04/05 03:13:00","1.9","226","8.2","3","2022/04/05 19:46:00","0.0"
"06","686.7","--","--","--","--","5.3","--","--","--","--","62","--","--","1.8","284","--","--","--","0.0"
"07","685.4","686.2","2022/04/07 09:35:00","684.6","2022/04/07 03:33:00","2.5","5.3","2022/04/07 10:24:00","1.4","2022/04/07 05:48:00","98","84","2022/04/07 10:26:00","1.5","210","8.8","228","2022/04/07 05:52:00","0.0"
"08","685.4","686.5","2022/04/08 10:32:00","684.5","2022/04/08 04:11:00","2.7","8.1","2022/04/08 10:34:00","-0.6","2022/04/08 23:22:00","99","81","2022/04/08 10:35:00","2.3","206","9.9","218","2022/04/08 14:10:00","3.0"
"09","685.3","686.4","2022/04/09 22:44:00","684.3","2022/04/09 03:29:00","4.4","13.1","2022/04/09 13:18:00","-1.3","2022/04/09 03:34:00","73","6","2022/04/09 07:22:00","2.6","216","11.4","251","2022/04/09 23:57:00","0.0"
